date,total_lettuce
2015-03-06,4
2015-03-10,0
2015-03-13,29
2015-03-16,6
2015-03-17,8
2015-03-18,4
2015-03-20,164
2015-03-21,112
2015-03-22,168
2015-03-23,222
2015-03-24,222
2015-03-25,194
2015-03-26,172
2015-03-27,158
2015-03-28,142
2015-03-29,238
2015-03-30,282
2015-03-31,276
2015-04-01,250
2015-04-02,184
2015-04-03,212
2015-04-04,16
2015-04-05,235
2015-04-06,181
2015-04-07,201
2015-04-08,232
2015-04-09,258
2015-04-10,237
2015-04-11,241
2015-04-12,268
2015-04-13,236
2015-04-14,232
2015-04-15,335
2015-04-16,238
2015-04-17,278
2015-04-18,259
2015-04-19,211
2015-04-20,260
2015-04-21,248
2015-04-22,220
2015-04-23,296
2015-04-24,286
2015-04-25,173
2015-04-26,234
2015-04-27,283
2015-04-28,283
2015-04-29,293
2015-04-30,227
2015-05-01,198
2015-05-02,158
2015-05-03,313
2015-05-04,232
2015-05-05,250
2015-05-06,252
2015-05-07,277
2015-05-08,192
2015-05-09,118
2015-05-10,264
2015-05-11,247
2015-05-12,198
2015-05-13,230
2015-05-14,258
2015-05-15,186
2015-05-16,194
2015-05-17,204
2015-05-18,222
2015-05-19,218
2015-05-20,242
2015-05-21,203
2015-05-22,154
2015-05-23,112
2015-05-24,130
2015-05-25,243
2015-05-26,264
2015-05-27,263
2015-05-28,222
2015-05-29,206
2015-05-30,128
2015-05-31,172
2015-06-01,198
2015-06-02,228
2015-06-03,249
2015-06-04,219
2015-06-05,185
2015-06-06,161
2015-06-07,200
2015-06-08,224
2015-06-09,210
2015-06-10,256
2015-06-11,386
2015-06-12,170
2015-06-13,206
2015-06-14,167
2015-06-15,266
