date,total_lettuce
2015-03-13,152
2015-03-14,182
2015-03-15,347
2015-03-16,400
2015-03-17,406
2015-03-18,382
2015-03-19,324
2015-03-20,192
2015-03-21,154
2015-03-22,370
2015-03-23,332
2015-03-24,390
2015-03-25,384
2015-03-26,377
2015-03-27,232
2015-03-28,219
2015-03-29,376
2015-03-30,360
2015-03-31,422
2015-04-01,448
2015-04-02,332
2015-04-03,312
2015-04-04,235
2015-04-05,402
2015-04-06,406
2015-04-07,436
2015-04-08,449
2015-04-09,378
2015-04-10,270
2015-04-11,298
2015-04-12,354
2015-04-13,426
2015-04-14,400
2015-04-15,400
2015-04-16,370
2015-04-17,320
2015-04-18,210
2015-04-19,342
2015-04-20,384
2015-04-21,410
2015-04-22,410
2015-04-23,380
2015-04-24,253
2015-04-25,254
2015-04-26,426
2015-04-27,428
2015-04-28,378
2015-04-29,412
2015-04-30,364
2015-05-01,262
2015-05-02,196
2015-05-03,376
2015-05-04,402
2015-05-05,360
2015-05-06,362
2015-05-07,322
2015-05-08,218
2015-05-09,231
2015-05-10,434
2015-05-11,356
2015-05-12,426
2015-05-13,360
2015-05-14,341
2015-05-15,226
2015-05-16,182
2015-05-17,300
2015-05-18,320
2015-05-19,322
2015-05-20,290
2015-05-21,298
2015-05-22,162
2015-05-23,174
2015-05-24,168
2015-05-25,284
2015-05-26,334
2015-05-27,370
2015-05-28,270
2015-05-29,258
2015-05-30,206
2015-05-31,436
2015-06-01,362
2015-06-02,374
2015-06-03,318
2015-06-04,330
2015-06-05,251
2015-06-06,230
2015-06-07,416
2015-06-08,318
2015-06-09,352
2015-06-10,298
2015-06-11,256
2015-06-12,223
2015-06-13,216
2015-06-14,350
2015-06-15,338
