date,storenumber,total_lettuce_trans_sub
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,4
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,4
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,4
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,4
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,2
2015-03-05,12631,4
2015-03-05,12631,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,4
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,4
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,2
2015-03-05,46673,0
2015-03-05,46673,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,4
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,8
2015-03-06,12631,0
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,4
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,4
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,4
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,4
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,12631,2
2015-03-06,20974,2
2015-03-06,20974,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,4
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,4
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,4
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,4
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,4
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-06,46673,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,0
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,6
2015-03-07,12631,2
2015-03-07,12631,4
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,12631,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-07,46673,2
2015-03-08,12631,4
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,4
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,4
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,4
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,6
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,4
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,4
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,12631,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,0
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,4
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,4
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,4
2015-03-08,46673,4
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,4
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-08,46673,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,4
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,4
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,0
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,4
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,4
2015-03-09,12631,2
2015-03-09,12631,2
2015-03-09,12631,2
